"Longitude" "Latitude"
"1" 13.56244672019 47.6004222682064
"2" 13.0933868212436 46.4765325811464
"3" 11.7070761666092 47.7369968895633
"4" 14.7524961537069 49.2531189723718
"5" 15.0503172739503 47.497317958187
"6" 10.940217811084 48.7293844734454
"7" 13.8172181759753 48.5353179809051
"8" 14.5167903656784 48.7530757588111
"9" 10.7106274059669 49.2079841008003
"10" 11.9459728962269 47.9121655607308
"11" 11.5679404814433 48.5341281135011
"12" 17.9977167627137 47.2926976109567
"13" 12.6001107339035 48.9019063153553
"14" 12.2458786979655 48.4311547062371
"15" 12.2780773424097 48.1394533757562
"16" 14.3931882364686 48.7037445747666
"17" 10.6420047160469 45.6202075901531
"18" 12.2203797670688 49.0338728935069
"19" 12.7423937718544 47.1159971965131
"20" 12.7848572202976 48.7156701664434
"21" 10.6129863649822 47.884593891813
"22" 12.7357235992232 47.289284903757
"23" 14.5337826358769 49.2500896604528
"24" 12.4006936616575 49.5859605759621
"25" 13.5992109149598 47.8060577243713
"26" 14.7468789343368 48.3561538268796
"27" 14.6877948416961 47.7117083465027
"28" 16.6964552614686 50.2537431931925
"29" 12.5095812191823 47.5829739486222
"30" 19.0771977755974 50.328844262637
"31" 12.8801919620512 48.2867892586677
"32" 15.0064787450594 46.9488549308879
"33" 10.3075447199263 50.6688454759313
"34" 13.6754564657502 46.6243098716714
"35" 11.3661108236618 47.6540270244858
"36" 15.0244549739233 48.4757662465241
"37" 14.8090191898225 47.2661978156399
"38" 11.9687697793143 48.0489779301993
"39" 11.7597607082003 49.320111414903
"40" 11.442957983179 47.8314114908333
